"source","term_id","term_name","p_value","term_size","query_size","intersection_size"
"GO:BP","GO:0030856","regulation of epithelial cell differentiation",0.00602366981656087,113,927,16
"GO:BP","GO:2001237","negative regulation of extrinsic apoptotic signaling pathway",0.00603182842151048,81,927,13
"GO:BP","GO:0007162","negative regulation of cell adhesion",0.00603182842151048,220,927,25
"GO:BP","GO:0018958","phenol-containing compound metabolic process",0.00603182842151048,81,927,13
"GO:BP","GO:1901699","cellular response to nitrogen compound",0.00612911058715051,546,927,49
"GO:BP","GO:0097435","supramolecular fiber organization",0.0061379800228429,662,927,57
"GO:BP","GO:0051953","negative regulation of amine transport",0.00615113544282128,13,927,5
"GO:BP","GO:0021783","preganglionic parasympathetic fiber development",0.00615113544282128,13,927,5
"GO:BP","GO:0048645","animal organ formation",0.00624343119670943,52,927,10
"GO:BP","GO:0034446","substrate adhesion-dependent cell spreading",0.00633776181207733,92,927,14
"GO:BP","GO:0002688","regulation of leukocyte chemotaxis",0.00633776181207733,92,927,14
"GO:BP","GO:0019722","calcium-mediated signaling",0.00647924397041805,172,927,21
"GO:BP","GO:0048880","sensory system development",0.00679218230211503,313,927,32
"GO:BP","GO:0090049","regulation of cell migration involved in sprouting angiogenesis",0.00679218230211503,35,927,8
"GO:BP","GO:0060351","cartilage development involved in endochondral bone morphogenesis",0.00679218230211503,27,927,7
"GO:BP","GO:0014897","striated muscle hypertrophy",0.00679218230211503,72,927,12
"GO:BP","GO:0003230","cardiac atrium development",0.00679218230211503,27,927,7
"GO:BP","GO:0050817","coagulation",0.00683611398655939,185,927,22
"GO:BP","GO:0001659","temperature homeostasis",0.00690523702170302,161,927,20
"GO:BP","GO:0009410","response to xenobiotic stimulus",0.00691844239384998,287,927,30
"GO:BP","GO:0006941","striated muscle contraction",0.0071912892658913,138,927,18
"GO:BP","GO:0090050","positive regulation of cell migration involved in sprouting angiogenesis",0.0072030921748633,20,927,6
"GO:BP","GO:0003338","metanephros morphogenesis",0.0072030921748633,20,927,6
"GO:BP","GO:0021612","facial nerve structural organization",0.0072030921748633,8,927,4
"GO:BP","GO:0015804","neutral amino acid transport",0.0072030921748633,44,927,9
"GO:BP","GO:0031954","positive regulation of protein autophosphorylation",0.0072030921748633,8,927,4
"GO:BP","GO:0071559","response to transforming growth factor beta",0.0072030921748633,236,927,26
"GO:BP","GO:0090132","epithelium migration",0.00725249649713304,83,927,13
"GO:BP","GO:0010594","regulation of endothelial cell migration",0.00725249649713304,150,927,19
"GO:BP","GO:0010631","epithelial cell migration",0.00725249649713304,83,927,13
"GO:BP","GO:0048839","inner ear development",0.00725249649713304,150,927,19
"GO:BP","GO:0007160","cell-matrix adhesion",0.00750287838289977,199,927,23
"GO:BP","GO:0045765","regulation of angiogenesis",0.00756586428733858,237,927,26
