"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Geneid"
2.60035631410658,-0.13445407017882,1.20609886361256,-0.11147848176898,0.911236928291278,NA,"ENSG00000287281.3"
3.45144039888186,-0.0274137347411816,0.974472884208613,-0.0281318599885361,0.977556983527174,NA,"ENSG00000263982.1"
4.72837931694459,0.392152505703598,0.812515727920324,0.482639895116041,0.629351446844164,NA,"ENSG00000265778.5"
1.32091207879296,-0.936004234823061,1.81258249780828,-0.516392625414207,0.605580215368717,NA,"ENSG00000305120.1"
1.1465844817179,-1.39375530000699,1.86480301857375,-0.747400817204259,0.454821652253303,NA,"ENSG00000308562.1"
1.62822245150846,0.0965311842475331,1.5204132085048,0.0634900984203256,0.949376243653616,NA,"ENSG00000279433.1"
5.42445521523254,-0.65160859550389,0.891126595278689,-0.731218885123844,0.464645466748135,NA,"ENSG00000278330.1"
5.34776991143078,0.338028459600716,0.810555396686038,0.417033136763691,0.676654170225183,NA,"ENSG00000267655.1"
1.16106893009011,-0.626360195290859,1.59887722673788,-0.391750026090994,0.695242922906935,NA,"ENSG00000286186.2"
1.53167109108146,2.40033374022052,1.77530155175065,1.35207099765869,0.176352604143296,NA,"ENSG00000267780.3"
3.13998243004737,1.33982637187327,1.04325423514991,1.28427599594718,0.199045402656847,NA,"ENSG00000278075.1"
1.87040177384877,-2.66491374001715,1.5889299468036,-1.67717509848567,0.0935082469355994,NA,"ENSG00000287879.1"
4.07041689619164,0.214848237490462,0.896106105943609,0.239757586814147,0.810518188826509,NA,"ENSG00000278000.1"
4.00693899051019,-0.367974322658501,1.00491770257604,-0.366173589852406,0.714235547941064,NA,"ENSG00000282508.3"
4.22922195874053,-0.298704284000508,0.937022376831908,-0.318780310253031,0.749893110076482,NA,"ENSG00000282393.1"
1.17779268183406,1.7518515266285,2.07891879426357,0.842674341808079,0.399410600937298,NA,"ENSG00000297401.1"
4.63850100565084,-0.854869757779753,0.931817761128939,-0.917421617660561,0.358921749049044,NA,"ENSG00000267751.7"
